DR | DR cv error | DR shape up | DR shape down | 0b purity | purity error | trig eff | trig eff error | lepton SF | lepton SF error | btag SF | btag SF error |
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0845 | 0.0496 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0845 | 0.0496 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0378 | 0.0018 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0354 | 0.0 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0845 | 0.0496 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1225 | 0.1116 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0845 | 0.0496 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0565 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0845 | 0.0496 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0378 | 0.0018 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0015 | 0.0 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0845 | 0.0496 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.1225 | 0.1116 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.3402 | 0.3183 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0678 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
0.959 | 0.0352 | 0.0678 | 0.0458 | 0.9902 | 0.0082 | 0.9905 | 0.0035 | 0.95 | 0.05 | 1.0 | 0.005 | 
