Njbin | Nbbin | Nmumu |  Nee  | Nb/0b   | stat | MC stat | ttz SF | syst+ | syst- | sysKin | sysPur
  2   |    0     |   1624.0  | 1112.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   150.0  | 103.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   13.0  | 7.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   1529.0  | 1121.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   107.0  | 87.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   4.0  | 2.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   1177.0  | 796.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   302.0  | 225.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   7.0  | 10.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   277.0  | 187.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   7.0  | 7.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   23.0  | 25.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   3.0  | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    1     |   179.0  | 90.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   17.0  | 13.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   1.0  | 2.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   158.0  | 106.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   10.0  | 17.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   2.0  | 0.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   127.0  | 81.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   29.0  | 20.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   3.0  | 0.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   24.0  | 31.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   0.0  | 0.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   6.0  | 0.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    1     |   1.0  | 0.0 | 0.1016 | 0.0345 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.024
  2   |    2     |   8.0  | 9.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   0.0  | 0.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   1.0  | 0.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   10.0  | 5.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   3.0  | 0.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   0.0  | 0.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   4.0  | 2.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   0.0  | 2.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   0.0  | 0.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
  2   |    2     |   0.0  | 0.0 | 0.0041 | 0.1511 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.2753
