 Njbin | Nbbin | Nmumu |  Nee  | Nb/0b   | stat | MC stat | syst+ | syst- | sysKin | sysPur
 3-4  |    0     |   99.0  |88.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   70.0  |51.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   8.0  |5.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   33.0  |24.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   51.0  |38.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   5.0  |3.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   11.0  |14.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   66.0  |42.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   14.0  |21.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   13.0  |18.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   8.0  |7.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   4.0  |4.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    0     |   0.0  |0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0 | 0.0
 3-4  |    1     |   9.0  |11.0 | 0.177384018898 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   4.0  |13.0 | 0.153976395726 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   2.0  |2.0 | 0.183270931244 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   8.0  |5.0 | 0.148732453585 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   11.0  |7.0 | 0.16858266294 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   1.0  |2.0 | 0.181580767035 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   3.0  |1.0 | 0.147971436381 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   6.0  |8.0 | 0.163433939219 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   1.0  |2.0 | 0.164452388883 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   1.0  |4.0 | 0.140000998974 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   3.0  |0.0 | 0.167893335223 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   0.0  |0.0 | 0.181517392397 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    1     |   0.0  |0.0 | 0.155090421438 | 0.136134456847 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0384319229588
 3-4  |    2     |   1.0  |2.0 | 0.0396920852363 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   3.0  |1.0 | 0.0322824120522 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |0.0 | 0.041555583477 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   2.0  |2.0 | 0.0306224375963 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   2.0  |0.0 | 0.0369060188532 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |1.0 | 0.0410205610096 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |0.0 | 0.0303815416992 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   4.0  |1.0 | 0.0352761931717 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |1.0 | 0.0355985797942 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |0.0 | 0.0278585013002 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |0.0 | 0.0366878136992 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |0.0 | 0.0410005003214 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |    2     |   0.0  |0.0 | 0.0326350517571 | 0.282103972661 | 0.0 | 0.0 | 0.0 | 0.1 | 0.0766880888107
 3-4  |   >=3    |   0.0  |1.0 | 0.00567425927147 | 0.708984890155 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
 3-4  |   >=3    |   0.0  |1.0 | 0.00501714088023 | 0.708984890155 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
 3-4  |   >=3    |   0.0  |0.0 | 0.00583952106535 | 0.708984890155 | 0.0 | 0.0 | 0.0 | 0.2 | 0.0766880888107
