Njbin | Nbbin | Nmumu |  Nee  | Nb/0b   | stat | MC stat | ttz SF | syst+ | syst- | sysKin | sysPur
  2   |    0     |   1522.0  | 1126.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   107.0  | 89.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   4.0  | 2.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   1179.0  | 789.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   302.0  | 225.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   7.0  | 9.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   275.0  | 184.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   7.0  | 6.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   23.0  | 23.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    0     |   3.0  | 0.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
  2   |    1     |   159.0  | 106.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   10.0  | 17.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   2.0  | 0.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   127.0  | 80.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   30.0  | 19.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   3.0  | 0.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   24.0  | 30.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   0.0  | 0.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   6.0  | 0.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    1     |   1.0  | 0.0 | 0.1027 | 0.0422 | 0.0 | 0.0 | 0.0 | 0.0 | 0.07 | 0.0248
  2   |    2     |   9.0  | 6.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   3.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   4.0  | 2.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 2.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
  2   |    2     |   0.0  | 0.0 | 0.0039 | 0.1965 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1 | 0.1963
 3-4  |    0     |   1017.0  | 673.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
 3-4  |    0     |   307.0  | 186.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
 3-4  |    0     |   21.0  | 15.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
 3-4  |    0     |   654.0  | 478.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
 3-4  |    0     |   623.0  | 430.0 | 1.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
