 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) |ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 1 : 5050.186( 0.039)|3496.2 |1553.974 |6778.0 |4734.0| 0.957(0.03) |2044.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.36(0.042) |0.874(0.005,+0.022-0.022) |0.926(0.03)| 1.0(+0.0-0.0)| 2067.61(+0.04-0.04,+0.058-0.058)
 2 : 1292.741( 0.048)|961.072 |331.668 |1405.0 |1065.0| 0.957(0.03) |340.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.436(0.051) |0.912(0.005,+0.022-0.022) |0.932(0.03)| 1.0(+0.0-0.0)| 544.688(+0.069-0.069,+0.065-0.065)
 3 : 100.158( 0.129)|77.462 |22.697 |94.0 |73.0| 0.957(0.03) |21.0| 0.854(0.032) | 0.991(0.01,0.001) | 0.965(0.009) |0.622(0.129) |0.991(0.005,+0.005-0.005) |0.934(0.03)| 1.0(+0.0-0.0)| 56.685(+0.171-0.171,+0.133-0.133)
 4 : 2258.092( 0.054)|1541.115 |716.977 |2619.0 |1795.0| 0.957(0.024) |824.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.354(0.061) |0.896(0.005,+0.027-0.027) |0.932(0.025)| 1.0(+0.0-0.0)| 812.248(+0.063-0.063,+0.072-0.072)
 5 : 899.449( 0.059)|646.767 |252.682 |1127.0 |802.0| 0.957(0.024) |325.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.43(0.064) |0.93(0.005,+0.023-0.023) |0.934(0.025)| 1.0(+0.0-0.0)| 441.452(+0.076-0.076,+0.074-0.074)
 6 : 102.77( 0.129)|89.684 |13.086 |76.0 |62.0| 0.957(0.024) |14.0| 0.877(0.03) | 0.988(0.01,0.002) | 0.965(0.009) |0.498(0.131) |0.966(0.005,+0.029-0.029) |0.942(0.025)| 1.0(+0.0-0.0)| 36.187(+0.241-0.241,+0.137-0.137)
 7 : 943.019( 0.075)|745.42 |197.598 |1126.0 |810.0| 0.949(0.052) |316.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.356(0.086) |0.875(0.005,+0.032-0.032) |0.936(0.045)| 1.0(+0.0-0.0)| 344.813(+0.097-0.097,+0.103-0.103)
 8 : 1687.967( 0.045)|1285.916 |402.049 |1910.0 |1479.0| 0.949(0.052) |431.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.388(0.048) |0.897(0.005,+0.018-0.018) |0.939(0.047)| 1.0(+0.0-0.0)| 654.919(+0.067-0.067,+0.071-0.071)
 9 : 160.124( 0.105)|130.855 |29.269 |123.0 |99.0| 0.949(0.052) |24.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.521(0.109) |0.965(0.005,+0.011-0.011) |0.94(0.047)| 1.0(+0.0-0.0)| 61.067(+0.182-0.182,+0.12-0.12)
 10 : 462.411( 0.072)|366.854 |95.557 |551.0 |457.0| 0.952(0.106) |94.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.417(0.072) |0.913(0.005,+0.023-0.023) |0.948(0.102)| 1.0(+0.0-0.0)| 208.784(+0.112-0.112,+0.127-0.127)
 11 : 76.918( 0.152)|76.054 |0.864 |70.0 |54.0| 0.952(0.106) |16.0| 0.926(0.08) | 0.986(0.01,0.002) | 0.965(0.009) |0.634(0.155) |0.95(0.005,+0.017-0.017) |0.946(0.1)| 1.0(+0.0-0.0)| 41.908(+0.2-0.2,+0.186-0.186)
 12 : 88.484( 0.142)|81.953 |6.531 |77.0 |71.0| 0.952(0.106) |6.0| 0.926(0.08) | 0.979(0.01,0.005) | 0.965(0.009) |0.353(0.151) |0.965(0.005,+0.016-0.016) |0.95(0.104)| 1.0(+0.0-0.0)| 26.406(+0.332-0.332,+0.184-0.184)
 13 : 5.75( 0.504)|5.518 |0.232 |5.0 |5.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.006) | 0.965(0.009) |1.993(0.662) |0.9(0.005,+0.046-0.046) |0.952(0.106)| 1.0(+0.0-0.0)| 9.054(+0.308-0.308,+0.672-0.672)
 14 : 4817.81( 0.038)|3259.476 |1558.326 |6248.0 |4275.0| 0.957(0.03) |1973.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.378(0.041) |0.741(0.005,+0.026-0.026) |0.925(0.03)| 1.0(+0.0-0.0)| 1693.815(+0.047-0.047,+0.059-0.059)
 15 : 4172.969( 0.028)|2847.181 |1325.78 |4201.0 |2946.0| 0.957(0.03) |1255.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.42(0.029) |0.782(0.005,+0.017-0.017) |0.926(0.03)| 1.0(+0.0-0.0)| 1339.9(+0.048-0.048,+0.047-0.047)
 16 : 438.176( 0.063)|320.659 |117.517 |373.0 |278.0| 0.957(0.03) |95.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.621(0.064) |0.844(0.005,+0.028-0.028) |0.931(0.03)| 1.0(+0.0-0.0)| 190.445(+0.101-0.101,+0.077-0.077)
 17 : 1824.906( 0.058)|1262.154 |562.751 |2151.0 |1446.0| 0.957(0.024) |705.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.354(0.066) |0.792(0.005,+0.029-0.029) |0.931(0.025)| 1.0(+0.0-0.0)| 588.725(+0.079-0.079,+0.078-0.078)
 18 : 2774.02( 0.033)|1968.797 |805.218 |2827.0 |2034.0| 0.957(0.024) |793.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.399(0.035) |0.803(0.005,+0.019-0.019) |0.935(0.025)| 1.0(+0.0-0.0)| 889.631(+0.06-0.06,+0.049-0.049)
 19 : 329.505( 0.073)|237.496 |92.009 |278.0 |207.0| 0.957(0.024) |71.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.616(0.075) |0.835(0.005,+0.035-0.035) |0.937(0.025)| 1.0(+0.0-0.0)| 140.545(+0.119-0.119,+0.087-0.087)
 20 : 470.889( 0.102)|321.754 |149.135 |660.0 |446.0| 0.949(0.052) |214.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.421(0.114) |0.829(0.005,+0.041-0.041) |0.934(0.044)| 1.0(+0.0-0.0)| 226.06(+0.114-0.114,+0.13-0.13)
 21 : 3339.425( 0.03)|2482.02 |857.404 |3387.0 |2541.0| 0.949(0.052) |846.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.422(0.031) |0.803(0.005,+0.016-0.016) |0.938(0.046)| 1.0(+0.0-0.0)| 1129.643(+0.052-0.052,+0.06-0.06)
 22 : 573.791( 0.056)|446.507 |127.285 |469.0 |368.0| 0.949(0.052) |101.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.585(0.057) |0.895(0.005,+0.011-0.011) |0.939(0.047)| 1.0(+0.0-0.0)| 242.247(+0.089-0.089,+0.076-0.076)
 23 : 778.185( 0.049)|643.181 |135.005 |728.0 |588.0| 0.952(0.106) |140.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.399(0.051) |0.81(0.005,+0.027-0.027) |0.947(0.101)| 1.0(+0.0-0.0)| 234.419(+0.115-0.115,+0.117-0.117)
 24 : 306.733( 0.075)|279.267 |27.466 |248.0 |214.0| 0.952(0.106) |34.0| 0.926(0.08) | 0.986(0.01,0.002) | 0.965(0.009) |0.642(0.078) |0.856(0.005,+0.017-0.017) |0.949(0.103)| 1.0(+0.0-0.0)| 135.888(+0.116-0.116,+0.131-0.131)
 25 : 147.905( 0.11)|139.645 |8.26 |132.0 |123.0| 0.952(0.106) |9.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |0.364(0.11) |0.858(0.005,+0.018-0.018) |0.951(0.104)| 1.0(+0.0-0.0)| 41.51(+0.277-0.277,+0.154-0.154)
 26 : 38.882( 0.211)|33.159 |5.723 |23.0 |23.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.98(0.01,0.007) | 0.965(0.009) |0.698(0.219) |0.849(0.005,+0.027-0.027) |0.952(0.106)| 1.0(+0.0-0.0)| 13.727(+0.37-0.37,+0.246-0.246)
 27 : 297.692( 0.138)|209.896 |87.796 |418.0 |263.0| 0.957(0.03) |155.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.464(0.16) |0.737(0.005,+0.108-0.108) |0.919(0.031)| 1.0(+0.0-0.0)| 137.584(+0.149-0.149,+0.196-0.196)
 28 : 1141.14( 0.052)|753.037 |388.102 |1080.0 |707.0| 0.957(0.03) |373.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.423(0.055) |0.73(0.005,+0.033-0.033) |0.922(0.03)| 1.0(+0.0-0.0)| 321.408(+0.102-0.102,+0.073-0.073)
 29 : 269.098( 0.08)|194.746 |74.352 |219.0 |150.0| 0.957(0.03) |69.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.545(0.081) |0.811(0.005,+0.032-0.032) |0.925(0.03)| 1.0(+0.0-0.0)| 93.799(+0.158-0.158,+0.094-0.094)
 30 : 73.654( 0.277)|66.078 |7.576 |99.0 |68.0| 0.957(0.024) |31.0| 0.877(0.03) | 0.988(0.01,0.001) | 0.965(0.009) |0.472(0.312) |0.703(0.005,+0.152-0.152) |0.932(0.025)| 1.0(+0.0-0.0)| 32.144(+0.31-0.31,+0.348-0.348)
 31 : 626.222( 0.063)|434.378 |191.844 |712.0 |499.0| 0.957(0.024) |213.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.483(0.069) |0.699(0.005,+0.045-0.045) |0.933(0.025)| 1.0(+0.0-0.0)| 235.271(+0.113-0.113,+0.087-0.087)
 32 : 214.743( 0.089)|151.532 |63.211 |159.0 |116.0| 0.957(0.024) |43.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.473(0.091) |0.731(0.005,+0.055-0.055) |0.935(0.025)| 1.0(+0.0-0.0)| 53.93(+0.234-0.234,+0.111-0.111)
 33 : 32.629( 0.393)|23.825 |8.804 |17.0 |12.0| 0.949(0.052) |5.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.178(0.473) |0.58(0.005,+0.34-0.34) |0.936(0.045)| 1.0(+0.0-0.0)| 1.73(+2.384-2.384,+0.585-0.585)
 34 : 595.526( 0.062)|451.055 |144.472 |625.0 |452.0| 0.949(0.052) |173.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.468(0.066) |0.754(0.005,+0.038-0.038) |0.937(0.045)| 1.0(+0.0-0.0)| 216.843(+0.115-0.115,+0.09-0.09)
 35 : 334.683( 0.072)|246.459 |88.223 |215.0 |164.0| 0.949(0.052) |51.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.507(0.074) |0.808(0.005,+0.021-0.021) |0.938(0.046)| 1.0(+0.0-0.0)| 86.778(+0.169-0.169,+0.091-0.091)
 36 : 115.78( 0.123)|90.953 |24.827 |99.0 |80.0| 0.952(0.106) |19.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.455(0.134) |0.82(0.005,+0.069-0.069) |0.947(0.101)| 1.0(+0.0-0.0)| 36.753(+0.271-0.271,+0.182-0.182)
 37 : 148.051( 0.107)|130.005 |18.046 |101.0 |81.0| 0.952(0.106) |20.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.603(0.113) |0.759(0.005,+0.029-0.029) |0.947(0.101)| 1.0(+0.0-0.0)| 45.966(+0.219-0.219,+0.155-0.155)
 38 : 16.246( 0.309)|16.246 |0.0 |20.0 |19.0| 0.952(0.106) |1.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |0.689(0.316) |0.768(0.005,+0.056-0.056) |0.951(0.105)| 1.0(+0.0-0.0)| 10.678(+0.419-0.419,+0.337-0.337)
 39 : 14.028( 0.333)|13.697 |0.331 |13.0 |13.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |0.881(0.342) |0.778(0.005,+0.049-0.049) |0.952(0.106)| 1.0(+0.0-0.0)| 9.003(+0.441-0.441,+0.362-0.362)
 40 : 96.677( 0.181)|66.709 |29.968 |95.0 |61.0| 0.957(0.03) |34.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.48(0.21) |0.74(0.005,+0.099-0.099) |0.92(0.03)| 1.0(+0.0-0.0)| 32.507(+0.3-0.3,+0.234-0.234)
 41 : 59.692( 0.166)|43.784 |15.907 |56.0 |41.0| 0.957(0.03) |15.0| 0.854(0.032) | 0.99(0.01,0.001) | 0.965(0.009) |0.512(0.169) |0.806(0.005,+0.077-0.077) |0.93(0.03)| 1.0(+0.0-0.0)| 22.493(+0.333-0.333,+0.189-0.189)
 42 : 44.272( 0.196)|30.571 |13.701 |48.0 |34.0| 0.957(0.03) |14.0| 0.854(0.032) | 0.987(0.01,0.002) | 0.965(0.009) |0.497(0.22) |0.684(0.005,+0.164-0.164) |0.927(0.03)| 1.0(+0.0-0.0)| 15.893(+0.436-0.436,+0.277-0.277)
 43 : 42.451( 0.206)|28.807 |13.643 |21.0 |13.0| 0.957(0.024) |8.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.478(0.206) |0.727(0.005,+0.074-0.074) |0.926(0.026)| 1.0(+0.0-0.0)| 7.102(+0.645-0.645,+0.221-0.221)
 44 : 42.541( 0.231)|32.042 |10.499 |35.0 |23.0| 0.957(0.024) |12.0| 0.877(0.03) | 0.987(0.01,0.001) | 0.965(0.009) |0.421(0.249) |0.615(0.005,+0.152-0.152) |0.93(0.025)| 1.0(+0.0-0.0)| 8.852(+0.668-0.668,+0.293-0.293)
 45 : 74.063( 0.157)|53.317 |20.746 |57.0 |41.0| 0.949(0.052) |16.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.478(0.172) |0.781(0.005,+0.045-0.045) |0.936(0.045)| 1.0(+0.0-0.0)| 20.913(+0.361-0.361,+0.184-0.184)
