 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) |ZgR(REr1,+RErUp-RErLow) |f(ferr) |purityTimesFrag(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 1 : 18605.766( 0.016)|13511.313 |5016.896 |27835.0 |18991.0| 0.957(0.024) |8844.0| 0.877(0.03) |0.555(0.016,+0.053-0.048) |0.92(0.0) |0.861(0.0)| 1.0(+0.0-0.0)| 13228.947(+0.013-0.013,+0.055-0.051)
 2 : 1589.884( 0.032)|1110.439 |465.489 |2065.0 |1455.0| 0.957(0.024) |610.0| 0.877(0.03) |0.549(0.035,+0.053-0.048) |0.92(0.0) |0.859(0.001)| 1.0(+0.0-0.0)| 973.392(+0.047-0.047,+0.064-0.06)
 3 : 97.68( 0.098)|70.702 |22.327 |114.0 |94.0| 0.957(0.024) |20.0| 0.877(0.03) |0.636(0.1,+0.053-0.048) |0.92(0.0) |0.863(0.003)| 1.0(+0.0-0.0)| 62.917(+0.17-0.17,+0.113-0.111)
 4 : 13784.243( 0.016)|10261.178 |3447.574 |18594.0 |13425.0| 0.949(0.052) |5169.0| 0.904(0.028) |0.556(0.017,+0.053-0.048) |0.92(0.0) |0.863(0.0)| 1.0(+0.0-0.0)| 8915.36(+0.015-0.015,+0.056-0.051)
 5 : 3749.507( 0.022)|2864.732 |880.236 |4851.0 |3597.0| 0.949(0.052) |1254.0| 0.904(0.028) |0.574(0.024,+0.053-0.048) |0.92(0.0) |0.863(0.001)| 1.0(+0.0-0.0)| 2402.526(+0.029-0.029,+0.058-0.054)
 6 : 197.22( 0.069)|158.148 |38.142 |181.0 |145.0| 0.949(0.052) |36.0| 0.904(0.028) |0.543(0.07,+0.053-0.048) |0.92(0.0) |0.865(0.003)| 1.0(+0.0-0.0)| 85.006(+0.158-0.158,+0.088-0.085)
 7 : 3424.045( 0.021)|2889.054 |532.269 |4062.0 |3308.0| 0.952(0.106) |754.0| 0.926(0.08) |0.601(0.023,+0.053-0.048) |0.92(0.0) |0.872(0.002)| 1.0(+0.0-0.0)| 2129.746(+0.03-0.03,+0.058-0.053)
 8 : 92.098( 0.101)|83.726 |7.442 |113.0 |95.0| 0.952(0.106) |18.0| 0.926(0.08) |0.775(0.102,+0.053-0.048) |0.92(0.0) |0.874(0.012)| 1.0(+0.0-0.0)| 76.432(+0.139-0.139,+0.116-0.114)
 9 : 437.236( 0.046)|403.745 |33.49 |451.0 |402.0| 0.952(0.106) |49.0| 0.926(0.08) |0.669(0.047,+0.053-0.048) |0.92(0.0) |0.874(0.005)| 1.0(+0.0-0.0)| 263.411(+0.081-0.081,+0.071-0.067)
 10 : 14.885( 0.25)|14.885 |0.0 |16.0 |15.0| 0.952(0.106) |1.0| 0.926(0.08) |0.854(0.254,+0.053-0.048) |0.92(0.0) |0.876(0.028)| 1.0(+0.0-0.0)| 11.958(+0.334-0.334,+0.261-0.26)
 11 : 12575.98( 0.018)|9100.638 |3404.122 |17849.0 |12101.0| 0.957(0.024) |5748.0| 0.877(0.03) |0.536(0.019,+0.053-0.048) |0.92(0.0) |0.86(0.0)| 1.0(+0.0-0.0)| 8195.648(+0.016-0.016,+0.056-0.052)
 12 : 4638.965( 0.019)|3188.405 |1407.434 |5289.0 |3719.0| 0.957(0.024) |1570.0| 0.877(0.03) |0.508(0.021,+0.053-0.048) |0.92(0.0) |0.858(0.0)| 1.0(+0.0-0.0)| 2307.851(+0.032-0.032,+0.057-0.052)
 13 : 403.745( 0.048)|298.622 |95.819 |380.0 |292.0| 0.957(0.024) |88.0| 0.877(0.03) |0.549(0.049,+0.053-0.048) |0.92(0.0) |0.863(0.001)| 1.0(+0.0-0.0)| 180.247(+0.108-0.108,+0.072-0.069)
 14 : 7678.45( 0.02)|5740.802 |1909.333 |10023.0 |7117.0| 0.949(0.052) |2906.0| 0.904(0.028) |0.567(0.022,+0.053-0.048) |0.92(0.0) |0.863(0.001)| 1.0(+0.0-0.0)| 4889.961(+0.02-0.02,+0.057-0.053)
 15 : 8210.896( 0.014)|6156.582 |2036.777 |9682.0 |7039.0| 0.949(0.052) |2643.0| 0.904(0.028) |0.554(0.016,+0.053-0.048) |0.92(0.0) |0.863(0.001)| 1.0(+0.0-0.0)| 4621.934(+0.021-0.021,+0.055-0.051)
 16 : 662.368( 0.037)|514.451 |143.264 |610.0 |478.0| 0.949(0.052) |132.0| 0.904(0.028) |0.57(0.038,+0.053-0.048) |0.92(0.0) |0.864(0.002)| 1.0(+0.0-0.0)| 300.643(+0.082-0.082,+0.065-0.061)
 17 : 3582.294( 0.019)|3027.58 |543.723 |3748.0 |2983.0| 0.952(0.106) |765.0| 0.926(0.08) |0.592(0.02,+0.053-0.048) |0.92(0.0) |0.873(0.002)| 1.0(+0.0-0.0)| 1934.545(+0.032-0.032,+0.057-0.052)
 18 : 401.885( 0.048)|332.112 |69.771 |348.0 |293.0| 0.952(0.106) |55.0| 0.926(0.08) |0.644(0.049,+0.053-0.048) |0.92(0.0) |0.872(0.005)| 1.0(+0.0-0.0)| 195.612(+0.095-0.095,+0.072-0.069)
 19 : 599.108( 0.039)|548.872 |50.235 |478.0 |427.0| 0.952(0.106) |51.0| 0.926(0.08) |0.613(0.04,+0.053-0.048) |0.92(0.0) |0.874(0.004)| 1.0(+0.0-0.0)| 255.965(+0.085-0.085,+0.067-0.063)
 20 : 43.723( 0.146)|43.723 |0.0 |34.0 |31.0| 0.952(0.106) |3.0| 0.926(0.08) |0.89(0.148,+0.053-0.048) |0.92(0.0) |0.876(0.014)| 1.0(+0.0-0.0)| 26.451(+0.22-0.22,+0.158-0.156)
 21 : 773.324( 0.07)|552.369 |210.926 |1126.0 |708.0| 0.957(0.024) |418.0| 0.877(0.03) |0.566(0.075,+0.053-0.048) |0.92(0.0) |0.86(0.001)| 1.0(+0.0-0.0)| 543.374(+0.062-0.062,+0.092-0.089)
 22 : 1441.835( 0.035)|967.256 |449.666 |1579.0 |1046.0| 0.957(0.024) |533.0| 0.877(0.03) |0.519(0.038,+0.053-0.048) |0.92(0.0) |0.857(0.001)| 1.0(+0.0-0.0)| 701.58(+0.057-0.057,+0.065-0.061)
 23 : 216.756( 0.066)|160.009 |54.887 |204.0 |152.0| 0.957(0.024) |52.0| 0.877(0.03) |0.559(0.067,+0.053-0.048) |0.92(0.0) |0.862(0.002)| 1.0(+0.0-0.0)| 98.192(+0.145-0.145,+0.085-0.082)
 24 : 408.87( 0.089)|310.587 |94.666 |486.0 |329.0| 0.949(0.052) |157.0| 0.904(0.028) |0.504(0.098,+0.053-0.048) |0.92(0.0) |0.863(0.002)| 1.0(+0.0-0.0)| 210.723(+0.105-0.105,+0.111-0.109)
 25 : 1922.513( 0.029)|1403.071 |510.137 |2122.0 |1508.0| 0.949(0.052) |614.0| 0.904(0.028) |0.561(0.032,+0.053-0.048) |0.92(0.0) |0.862(0.001)| 1.0(+0.0-0.0)| 1024.478(+0.045-0.045,+0.062-0.057)
 26 : 360.952( 0.051)|276.294 |82.795 |338.0 |260.0| 0.949(0.052) |78.0| 0.904(0.028) |0.578(0.052,+0.053-0.048) |0.92(0.0) |0.864(0.002)| 1.0(+0.0-0.0)| 168.813(+0.109-0.109,+0.074-0.071)
 27 : 506.503( 0.048)|405.717 |98.923 |545.0 |420.0| 0.952(0.106) |125.0| 0.926(0.08) |0.651(0.05,+0.053-0.048) |0.92(0.0) |0.871(0.005)| 1.0(+0.0-0.0)| 308.853(+0.076-0.076,+0.073-0.069)
 28 : 214.896( 0.066)|186.987 |27.909 |197.0 |160.0| 0.952(0.106) |37.0| 0.926(0.08) |0.622(0.067,+0.053-0.048) |0.92(0.0) |0.873(0.007)| 1.0(+0.0-0.0)| 106.75(+0.131-0.131,+0.086-0.083)
 29 : 114.425( 0.09)|107.913 |6.512 |98.0 |90.0| 0.952(0.106) |8.0| 0.926(0.08) |0.63(0.092,+0.053-0.048) |0.92(0.0) |0.875(0.009)| 1.0(+0.0-0.0)| 54.005(+0.183-0.183,+0.106-0.104)
 30 : 14.885( 0.25)|14.885 |0.0 |24.0 |23.0| 0.952(0.106) |1.0| 0.926(0.08) |1.251(0.253,+0.053-0.048) |0.92(0.0) |0.876(0.035)| 1.0(+0.0-0.0)| 26.269(+0.186-0.186,+0.261-0.26)
 31 : 143.174( 0.114)|101.101 |42.073 |164.0 |104.0| 0.957(0.024) |60.0| 0.877(0.03) |0.456(0.124,+0.053-0.048) |0.92(0.0) |0.859(0.002)| 1.0(+0.0-0.0)| 63.81(+0.201-0.201,+0.135-0.133)
 32 : 45.584( 0.143)|33.49 |12.094 |46.0 |35.0| 0.957(0.024) |11.0| 0.877(0.03) |0.612(0.146,+0.053-0.048) |0.92(0.0) |0.861(0.004)| 1.0(+0.0-0.0)| 24.274(+0.279-0.279,+0.155-0.154)
 33 : 133.451( 0.103)|95.412 |33.387 |204.0 |131.0| 0.949(0.052) |73.0| 0.904(0.028) |0.645(0.11,+0.053-0.048) |0.92(0.0) |0.862(0.005)| 1.0(+0.0-0.0)| 112.854(+0.127-0.127,+0.123-0.121)
 34 : 79.074( 0.108)|54.887 |23.257 |74.0 |54.0| 0.949(0.052) |20.0| 0.904(0.028) |0.598(0.111,+0.053-0.048) |0.92(0.0) |0.861(0.005)| 1.0(+0.0-0.0)| 38.14(+0.226-0.226,+0.123-0.121)
 35 : 37.833( 0.186)|26.773 |11.061 |39.0 |29.0| 0.952(0.106) |10.0| 0.926(0.08) |0.58(0.192,+0.053-0.048) |0.92(0.0) |0.869(0.017)| 1.0(+0.0-0.0)| 19.666(+0.318-0.318,+0.2-0.199)
 36 : 49.305( 0.137)|40.933 |8.373 |40.0 |30.0| 0.952(0.106) |10.0| 0.926(0.08) |0.555(0.141,+0.053-0.048) |0.92(0.0) |0.872(0.013)| 1.0(+0.0-0.0)| 19.301(+0.328-0.328,+0.151-0.149)
 37 : 10.233( 0.302)|9.303 |0.93 |7.0 |5.0| 0.952(0.106) |2.0| 0.926(0.08) |0.708(0.307,+0.053-0.048) |0.92(0.0) |0.874(0.026)| 1.0(+0.0-0.0)| 4.311(+0.614-0.614,+0.313-0.312)
 38 : 6.512( 0.378)|6.512 |0.0 |3.0 |3.0| 0.952(0.106) |0.0| 0.926(0.08) |0.66(0.386,+0.053-0.048) |0.92(0.0) |0.876(0.028)| 1.0(+0.0-0.0)| 1.734(+1.387-1.387,+0.391-0.39)
 39 : 2.791( 0.577)|2.791 |0.0 |4.0 |1.0| 0.957(0.024) |3.0| 0.877(0.03) |0.92(0.62,+0.053-0.048) |0.92(0.0) |0.881(0.02)| 1.0(+0.0-0.0)| 3.038(+0.658-0.658,+0.622-0.622)
