 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) |ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 1 : 25838.664( 0.02)|19026.396 |6812.149 |36239.0 |26052.0| 0.957(0.024) |10187.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.38(0.018) |0.971(0.005,+0.004-0.004) |0.935(0.025)| 1.0(+0.0-0.0)| 13126.695(+0.015-0.015,+0.034-0.034)
 2 : 2227.137( 0.038)|1626.129 |601.01 |2613.0 |1939.0| 0.957(0.024) |674.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.365(0.04) |0.987(0.005,+0.006-0.006) |0.936(0.025)| 1.0(+0.0-0.0)| 925.236(+0.055-0.055,+0.049-0.049)
 3 : 136.304( 0.113)|99.345 |36.959 |154.0 |126.0| 0.957(0.024) |28.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.416(0.11) |0.998(0.005,+0.001-0.001) |0.942(0.025)| 1.0(+0.0-0.0)| 63.374(+0.196-0.196,+0.114-0.114)
 4 : 19357.182( 0.02)|14752.991 |4603.942 |24748.0 |18605.0| 0.949(0.052) |6143.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.376(0.019) |0.974(0.005,+0.004-0.004) |0.938(0.046)| 1.0(+0.0-0.0)| 8909.788(+0.018-0.018,+0.052-0.052)
 5 : 5513.073( 0.027)|4300.568 |1212.498 |6521.0 |4985.0| 0.949(0.052) |1536.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.369(0.027) |0.98(0.005,+0.004-0.004) |0.938(0.046)| 1.0(+0.0-0.0)| 2324.463(+0.035-0.035,+0.056-0.056)
 6 : 288.033( 0.078)|239.1 |48.933 |231.0 |186.0| 0.949(0.052) |45.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.343(0.077) |0.978(0.005,+0.016-0.016) |0.94(0.047)| 1.0(+0.0-0.0)| 76.553(+0.199-0.199,+0.093-0.093)
 7 : 4943.142( 0.026)|4210.916 |732.213 |5515.0 |4605.0| 0.952(0.106) |910.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.389(0.025) |0.989(0.005,+0.003-0.003) |0.948(0.102)| 1.0(+0.0-0.0)| 2113.835(+0.035-0.035,+0.106-0.106)
 8 : 132.192( 0.113)|118.756 |13.435 |156.0 |137.0| 0.952(0.106) |19.0| 0.926(0.08) | 0.986(0.01,0.002) | 0.965(0.009) |0.497(0.11) |0.987(0.005,+0.006-0.006) |0.949(0.103)| 1.0(+0.0-0.0)| 76.432(+0.163-0.163,+0.152-0.152)
 9 : 672.602( 0.051)|624.557 |48.044 |676.0 |618.0| 0.952(0.106) |58.0| 0.926(0.08) | 0.979(0.01,0.006) | 0.965(0.009) |0.398(0.05) |0.991(0.005,+0.002-0.002) |0.95(0.104)| 1.0(+0.0-0.0)| 267.975(+0.097-0.097,+0.116-0.116)
 10 : 19.886( 0.286)|19.886 |0.0 |21.0 |21.0| 0.952(0.106) |0.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |0.59(0.281) |0.997(0.005,+0.003-0.003) |0.952(0.106)| 1.0(+0.0-0.0)| 12.481(+0.391-0.391,+0.3-0.3)
 11 : 17444.624( 0.022)|12868.783 |4575.828 |23274.0 |16644.0| 0.957(0.024) |6630.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.366(0.021) |0.958(0.005,+0.006-0.006) |0.934(0.025)| 1.0(+0.0-0.0)| 7998.54(+0.019-0.019,+0.036-0.036)
 12 : 6260.075( 0.024)|4377.995 |1882.097 |6795.0 |4975.0| 0.957(0.024) |1820.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.352(0.024) |0.935(0.005,+0.007-0.007) |0.936(0.025)| 1.0(+0.0-0.0)| 2199.882(+0.037-0.037,+0.038-0.038)
 13 : 530.838( 0.057)|405.092 |125.747 |475.0 |365.0| 0.957(0.024) |110.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.388(0.056) |0.963(0.005,+0.01-0.01) |0.938(0.025)| 1.0(+0.0-0.0)| 174.979(+0.125-0.125,+0.064-0.064)
 14 : 10758.165( 0.025)|8185.347 |2572.861 |13372.0 |9932.0| 0.949(0.052) |3440.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.384(0.025) |0.973(0.005,+0.005-0.005) |0.937(0.046)| 1.0(+0.0-0.0)| 4919.316(+0.024-0.024,+0.054-0.054)
 15 : 11521.98( 0.019)|8853.029 |2668.836 |12831.0 |9773.0| 0.949(0.052) |3058.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.37(0.018) |0.941(0.005,+0.005-0.005) |0.938(0.046)| 1.0(+0.0-0.0)| 4394.068(+0.026-0.026,+0.052-0.052)
 16 : 936.96( 0.044)|737.696 |199.265 |765.0 |625.0| 0.949(0.052) |140.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.376(0.043) |0.956(0.005,+0.007-0.007) |0.941(0.048)| 1.0(+0.0-0.0)| 271.96(+0.102-0.102,+0.066-0.066)
 17 : 5150.506( 0.023)|4389.976 |760.526 |5068.0 |4169.0| 0.952(0.106) |899.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.381(0.022) |0.979(0.005,+0.003-0.003) |0.948(0.102)| 1.0(+0.0-0.0)| 1879.418(+0.038-0.038,+0.105-0.105)
 18 : 571.831( 0.056)|489.766 |82.064 |466.0 |389.0| 0.952(0.106) |77.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.422(0.055) |0.953(0.005,+0.008-0.008) |0.948(0.102)| 1.0(+0.0-0.0)| 186.861(+0.116-0.116,+0.117-0.117)
 19 : 854.984( 0.046)|785.421 |69.563 |693.0 |638.0| 0.952(0.106) |55.0| 0.926(0.08) | 0.979(0.01,0.006) | 0.965(0.009) |0.396(0.044) |0.982(0.005,+0.003-0.003) |0.95(0.104)| 1.0(+0.0-0.0)| 271.244(+0.097-0.097,+0.114-0.114)
 20 : 61.228( 0.175)|61.228 |0.0 |54.0 |53.0| 0.952(0.106) |1.0| 0.926(0.08) | 0.978(0.01,0.005) | 0.965(0.009) |0.618(0.173) |0.964(0.005,+0.009-0.009) |0.952(0.106)| 1.0(+0.0-0.0)| 32.462(+0.226-0.226,+0.203-0.203)
 21 : 1118.525( 0.082)|794.193 |324.331 |1366.0 |941.0| 0.957(0.024) |425.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.373(0.085) |0.899(0.005,+0.029-0.029) |0.932(0.025)| 1.0(+0.0-0.0)| 448.362(+0.082-0.082,+0.094-0.094)
 22 : 1965.837( 0.042)|1357.857 |607.984 |2091.0 |1430.0| 0.957(0.024) |661.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.366(0.044) |0.878(0.005,+0.017-0.017) |0.932(0.025)| 1.0(+0.0-0.0)| 657.268(+0.07-0.07,+0.055-0.055)
 23 : 274.557( 0.079)|213.68 |60.877 |223.0 |176.0| 0.957(0.024) |47.0| 0.877(0.03) | 0.987(0.01,0.002) | 0.965(0.009) |0.411(0.079) |0.923(0.005,+0.02-0.02) |0.94(0.025)| 1.0(+0.0-0.0)| 83.653(+0.179-0.179,+0.086-0.086)
 24 : 531.583( 0.105)|392.032 |139.552 |646.0 |475.0| 0.949(0.052) |171.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.369(0.112) |0.982(0.005,+0.014-0.014) |0.937(0.046)| 1.0(+0.0-0.0)| 230.556(+0.11-0.11,+0.123-0.123)
 25 : 2702.421( 0.035)|1999.359 |703.068 |2810.0 |2080.0| 0.949(0.052) |730.0| 0.904(0.028) | 0.987(0.01,0.001) | 0.965(0.009) |0.373(0.035) |0.9(0.005,+0.012-0.012) |0.937(0.046)| 1.0(+0.0-0.0)| 928.073(+0.057-0.057,+0.061-0.061)
 26 : 509.56( 0.059)|408.108 |101.452 |422.0 |351.0| 0.949(0.052) |71.0| 0.904(0.028) | 0.988(0.01,0.001) | 0.965(0.009) |0.378(0.058) |0.925(0.005,+0.014-0.014) |0.942(0.048)| 1.0(+0.0-0.0)| 145.799(+0.141-0.141,+0.078-0.078)
 27 : 726.333( 0.054)|596.264 |130.07 |715.0 |576.0| 0.952(0.106) |139.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.418(0.054) |0.952(0.005,+0.013-0.013) |0.947(0.101)| 1.0(+0.0-0.0)| 282.959(+0.094-0.094,+0.116-0.116)
 28 : 336.559( 0.073)|293.189 |43.37 |260.0 |212.0| 0.952(0.106) |48.0| 0.926(0.08) | 0.987(0.01,0.002) | 0.965(0.009) |0.371(0.072) |0.916(0.005,+0.01-0.01) |0.948(0.101)| 1.0(+0.0-0.0)| 87.932(+0.183-0.183,+0.126-0.126)
